Test number,Path,File name,Image description,Text,Comments,Language,tessedit_char_blacklist=,tessedit_char_unblacklist=,tessedit_char_whitelist=,page_separator=,Pass/Fail
88,images,88_testType_fonts_Cambria Math_8.png,"all English letters, Cambria Math font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
89,images,89_testType_fonts_Cambria Math_72.png,"all English letters, Cambria Math font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
90,images,90_testType_fonts_Candara_8.png,"all English letters, Candara font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
91,images,91_testType_fonts_Candara_72.png,"all English letters, Candara font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
92,images,92_testType_fonts_Comic Sans MS_8.png,"all English letters, Comic Sans font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
93,images,93_testType_fonts_Comic Sans MS_72.png,"all English letters, Comic Sans font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
94,images,94_testType_fonts_Consolas_8.png,"all English letters, Consolas font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
95,images,95_testType_fonts_Consolas_72.png,"all English letters, Consolas font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
96,images,96_testType_fonts_Constantia_8.png,"all English letters, Constantia font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
97,images,97_testType_fonts_Constantia_72.png,"all English letters, Constantia font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
98,images,98_testType_fonts_Corbel_8.png,"all English letters, Corbel Math font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
99,images,99_testType_fonts_Corbel_72.png,"all English letters, Corbel Math font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
100,images,100_testType_fonts_Courier New_8.png,"all Hebrew letters, Courier New font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
101,images,101_testType_fonts_Courier New_8.png,"all English letters, Courier New font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
102,images,102_testType_fonts_Courier New_72.png,"all Hebrew letters, Courier New font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
103,images,103_testType_fonts_Courier New_72.png,"all English letters, Courier New font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
104,images,104_testType_fonts_David_8.png,"all Hebrew letters, David font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
105,images,105_testType_fonts_David_8.png,"all English letters, David font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
106,images,106_testType_fonts_David_72.png,"all Hebrew letters,David font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
107,images,107_testType_fonts_David_72.png,"all English letters, David font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
108,images,108_testType_fonts_David Bold_8.png,"all Hebrew letters, David Bold font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
109,images,109_testType_fonts_David Bold_8.png,"all English letters, David Bold font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
110,images,110_testType_fonts_David Bold_72.png,"all Hebrew letters,David Bold font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
111,images,111_testType_fonts_David Bold_72.png,"all English letters, David Bold font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
112,images,112_testType_fonts_Ebrima_8.png,"all English letters, Ebrima font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
113,images,113_testType_fonts_Ebrima_72.png,"all English letters, Ebrima font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
114,images,114_testType_fonts_Forte_8.png,"all English letters, Forte font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
115,images,115_testType_fonts_Forte_72.png,"all English letters, Forte font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
116,images,116_testType_fonts_Franklin Gothic Medium_8.png,"all English letters, Franklin Gothic Medium font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
117,images,117_testType_fonts_Franklin Gothic Medium_72.png,"all English letters, Franklin Gothic Medium font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Pass
118,images,118_testType_fonts_FrankRuehl_8.png,"all Hebrew letters, FrankRuehl font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
119,images,119_testType_fonts_FrankRuehl_8.png,"all English letters, FrankRuehl font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
120,images,120_testType_fonts_FrankRuehl_72.png,"all Hebrew letters, FrankRuehl font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
121,images,121_testType_fonts_FrankRuehl_72.png,"all English letters, FrankRuehl font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
122,images,122_testType_fonts_Gabriola_8.png,"all English letters, Gabriola font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
123,images,123_testType_fonts_Gabriola_72.png,"all English letters, Gabriola font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
124,images,124_testType_fonts_Gadugi_8.png,"all English letters, Gadugi font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
125,images,125_testType_fonts_Gadugi_72.png,"all English letters, Gadugi font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
126,images,126_testType_fonts_Georgia_8.png,"all English letters, Georgia font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
127,images,127_testType_fonts_Georgia_72.png,"all English letters, Georgia font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Pass
128,images,128_testType_fonts_Gisha_8.png,"all Hebrew letters, Gisha font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
129,images,129_testType_fonts_Gisha_8.png,"all English letters, Gisha font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
130,images,130_testType_fonts_Gisha_72.png,"all Hebrew letters, Gisha font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
131,images,131_testType_fonts_Gisha_72.png,"all English letters, Gisha font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
132,images,132_testType_fonts_Gisha Bold_8.png,"all Hebrew letters, Gisha Bold font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
133,images,133_testType_fonts_Gisha Bold_8.png,"all English letters, Gisha Bold font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
134,images,134_testType_fonts_Gisha Bold_72.png,"all Hebrew letters, Gisha Bold font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
135,images,135_testType_fonts_Gisha Bold_72.png,"all English letters, Gisha Bold font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
136,images,136_testType_fonts_Impact_8.png,"all English letters, Impact font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
137,images,137_testType_fonts_Impact_72.png,"all English letters, Impact font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
138,images,138_testType_fonts_Ink Free_8.png,"all English letters, Ink Free font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
139,images,139_testType_fonts_Ink Free_72.png,"all English letters, Ink Free font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
140,images,140_testType_fonts_Levenim MT_8.png,"all Hebrew letters, Levenim MT font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
141,images,141_testType_fonts_Levenim MT_8.png,"all English letters, Levenim MT font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
142,images,142_testType_fonts_Levenim MT_72.png,"all Hebrew letters, Levenim MT font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
143,images,143_testType_fonts_Levenim MT_72.png,"all English letters, Levenim MT font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
144,images,144_testType_fonts_Levenim MT Bold_8.png,"all Hebrew letters, Levenim MT Bold font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
145,images,145_testType_fonts_Levenim MT Bold_8.png,"all English letters, Levenim MT Bold font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
146,images,146_testType_fonts_Levenim MT Bold_72.png,"all Hebrew letters, Levenim MT Bold font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
147,images,147_testType_fonts_Levenim MT Bold_72.png,"all English letters, Levenim MT Bold font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
148,images,148_testType_fonts_Lucida Console_8.png,"all English letters, Lucida Console font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
149,images,149_testType_fonts_Lucida Console_72.png,"all English letters, Lucida Console font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
150,images,150_testType_fonts_Lucida Sans Unicode_8.png,"all Hebrew letters, Lucida Sans Unicode font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
151,images,151_testType_fonts_Lucida Sans Unicode_8.png,"all English letters, Lucida Sans Unicode font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
152,images,152_testType_fonts_Lucida Sans Unicode_72.png,"all Hebrew letters, Lucida Sans Unicode font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
153,images,153_testType_fonts_Lucida Sans Unicode_72.png,"all English letters, Lucida Sans Unicode font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
154,images,154_testType_fonts_Microsoft Sans Serif_8.png,"all Hebrew letters, Microsoft Sans Serif font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
155,images,155_testType_fonts_Microsoft Sans Serif_8.png,"all English letters, Microsoft Sans Serif font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
156,images,156_testType_fonts_Microsoft Sans Serif_72.png,"all Hebrew letters, Microsoft Sans Serif font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
157,images,157_testType_fonts_Microsoft Sans Serif_72.png,"all English letters, Microsoft Sans Serif font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Pass
158,images,158_testType_fonts_Miriam_8.png,"all Hebrew letters, Miriam font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
159,images,159_testType_fonts_Miriam_8.png,"all English letters, Miriam font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
160,images,160_testType_fonts_Miriam_72.png,"all Hebrew letters, Miriam font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
161,images,161_testType_fonts_Miriam_72.png,"all English letters, Miriam font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
162,images,162_testType_fonts_Miriam Fixed_8.png,"all Hebrew letters, Miriam Fixed font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
163,images,163_testType_fonts_Miriam Fixed_8.png,"all English letters, Miriam Fixed font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
164,images,164_testType_fonts_Miriam Fixed_72.png,"all Hebrew letters, Miriam Fixed font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
165,images,165_testType_fonts_Miriam Fixed_72.png,"all English letters, Miriam Fixed font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
166,images,166_testType_fonts_MS Gothic_8.png,"all English letters, MS Gothic font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
167,images,167_testType_fonts_MS Gothic_72.png,"all English letters, MS Gothic font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
168,images,168_testType_fonts_Narkisim_8.png,"all Hebrew letters, Narkisim font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
169,images,169_testType_fonts_Narkisim_8.png,"all English letters, Narkisim font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
170,images,170_testType_fonts_Narkisim_72.png,"all Hebrew letters, Narkisim font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
171,images,171_testType_fonts_Narkisim_72.png,"all English letters, Narkisim font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
172,images,172_testType_fonts_Rod_8.png,"all Hebrew letters, Rod font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
173,images,173_testType_fonts_Rod_8.png,"all English letters, Rod font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
174,images,174_testType_fonts_Rod_72.png,"all Hebrew letters, Rod font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
175,images,175_testType_fonts_Rod_72.png,"all English letters, Rod font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
176,images,176_testType_fonts_Segoe Print_8.png,"all English letters, Segoe Print font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
177,images,177_testType_fonts_Segoe Print_72.png,"all English letters, Segoe Print font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
178,images,178_testType_fonts_Segoe Script_8.png,"all English letters, Segoe Script font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
179,images,179_testType_fonts_Segoe Script_72.png,"all English letters, Segoe Script font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
180,images,180_testType_fonts_Segoe UI_8.png,"all Hebrew letters, Segoe UI font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
181,images,181_testType_fonts_Segoe UI_8.png,"all English letters, Segoe UI font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
182,images,182_testType_fonts_Segoe UI_72.png,"all Hebrew letters, Segoe UI font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
183,images,183_testType_fonts_Segoe UI_72.png,"all English letters, Segoe UI font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
184,images,184_testType_fonts_Tahoma_8.png,"all Hebrew letters, Tahoma font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
185,images,185_testType_fonts_Tahoma_8.png,"all English letters, Tahoma font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
186,images,186_testType_fonts_Tahoma_72.png,"all Hebrew letters, Tahoma font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
187,images,187_testType_fonts_Tahoma_72.png,"all English letters, Tahoma font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Pass
188,images,188_testType_fonts_Times New Roman_8.png,"all Hebrew letters, Times New Roman font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
189,images,189_testType_fonts_Times New Roman_8.png,"all English letters, Times New Roman font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
190,images,190_testType_fonts_Times New Roman_72.png,"all Hebrew letters, Times New Roman font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
191,images,191_testType_fonts_Times New Roman_72.png,"all English letters, Times New Roman font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
192,images,192_testType_font_size_Arial_8.png,"all Hebrew letters, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
","font size pictures (boundary values, Arial font, .png file format)",heb,None,None,None,None,Fail
193,images,193_testType_font_size_Arial_8.png,"all English letters, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
194,images,194_testType_font_size_Arial_9.png,"all Hebrew letters, size 9  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
195,images,195_testType_font_size_Arial_9.png,"all English letters, size 9  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
196,images,196_testType_font_size_Arial_32.png,"all Hebrew letters, size 32  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
197,images,197_testType_font_size_Arial_32.png,"all English letters, size 32  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
198,images,198_testType_font_size_Arial_71.png,"all Hebrew letters, size 71  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
199,images,199_testType_font_size_Arial_71.png,"all English letters, size 71  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
200,images,200_testType_font_size_Arial_72.png,"all Hebrew letters, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
201,images,201_testType_font_size_Arial_72.png,"all English letters, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
202,images,202_testType_length_of_text_Arial_20.png,"only ""a"" letter at top left corner ",a,"text length pictures (size 20, Arial font, .png file format)",eng,None,None,None,None,Fail
203,images,203_testType_length_of_text_Arial_20.png,"one full line of ""a"" letters at the top of the picture ","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
",,eng,None,None,None,None,Pass
204,images,204_testType_length_of_text_Arial_20.png,"one full line of ""a"" letters at the middle of the picture ","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
",,eng,None,None,None,None,Pass
205,images,205_testType_length_of_text_Arial_20.png,"one full line of ""a"" letters at the buttom of the picture ","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
",,eng,None,None,None,None,Fail
